Date;Open;High;Low;Close
2020.01.01;15699.53;15734.92;15674.02;15694.44
2019.12.31;15764.54;15764.66;15647.82;15667.44
2019.12.30;15765.12;15786.44;15700.17;15748.18
2019.12.27;15623.81;15737.79;15619.34;15726.46
2019.12.26;15688.14;15688.14;15571.84;15581.54
2019.12.24;15724.95;15735.30;15647.97;15659.03
2019.12.23;15691.43;15744.05;15649.73;15705.98
2019.12.20;15712.55;15739.52;15693.73;15716.53
2019.12.19;15662.12;15702.75;15622.04;15689.86
2019.12.18;15644.32;15671.20;15589.91;15653.35
2019.12.17;15511.56;15618.07;15497.04;15602.70
2019.12.16;15573.90;15578.36;15467.83;15472.95
2019.12.13;15427.92;15533.77;15423.42;15521.95
2019.12.12;15338.64;15413.56;15324.97;15371.37
2019.12.11;15244.21;15302.47;15193.17;15286.77
2019.12.10;15377.22;15377.22;15210.32;15222.75
2019.12.09;15376.71;15411.76;15293.27;15344.56
2019.12.06;15532.72;15532.72;15298.51;15338.67
2019.12.05;15561.30;15564.68;15457.85;15478.54
2019.12.04;15438.15;15532.06;15392.81;15521.26
2019.12.03;15569.42;15575.03;15415.82;15457.18
2019.12.02;15644.73;15649.70;15518.02;15545.31
2019.11.29;15675.97;15676.36;15523.34;15567.67
2019.11.28;15622.15;15668.51;15578.55;15660.07
2019.11.27;15541.77;15589.11;15517.11;15576.18
2019.11.26;15597.37;15635.33;15458.13;15492.35
2019.11.25;15390.07;15566.20;15375.78;15554.52
2019.11.22;15437.31;15437.31;15312.19;15355.38
2019.11.21;15507.97;15511.26;15398.99;15410.83
2019.11.20;15476.89;15511.53;15434.54;15461.96
2019.11.19;15389.97;15416.20;15336.09;15395.10
2019.11.18;15370.02;15400.15;15319.79;15341.05
2019.11.15;15357.15;15425.12;15324.20;15336.64
2019.11.14;15304.40;15342.79;15228.68;15313.36
2019.11.13;15404.23;15442.18;15263.31;15284.82
2019.11.11;15378.08;15411.99;15331.43;15391.45
2019.11.08;15510.99;15538.18;15353.44;15372.39
2019.11.07;15503.40;15520.95;15437.05;15507.01
2019.11.06;15410.07;15486.51;15321.29;15437.74
2019.11.05;15494.78;15500.18;15340.41;15393.76
2019.11.04;15463.83;15531.88;15423.46;15452.27
2019.11.01;15406.92;15453.24;15369.48;15409.93
2019.10.31;15373.22;15456.77;15356.32;15387.13
2019.10.30;15313.20;15357.78;15248.35;15317.96
2019.10.29;15066.65;15268.53;15043.55;15239.54
2019.10.27;15084.42;15087.92;15022.28;15047.74
2019.10.25;15030.76;15040.69;14864.76;14967.51
2019.10.24;15066.10;15099.42;14922.58;14978.50
2019.10.23;15036.32;15076.10;14952.87;15016.61
2019.10.22;15051.55;15122.70;14979.97;14996.40
2019.10.18;14929.91;15074.78;14885.61;15051.55
2019.10.17;14750.60;14925.36;14720.00;14910.83
2019.10.16;14727.38;14761.20;14676.95;14731.77
2019.10.15;14609.73;14723.19;14591.48;14681.49
2019.10.14;14573.19;14676.38;14532.43;14580.11
2019.10.11;14491.72;14605.58;14400.28;14535.99
2019.10.10;14547.83;14547.83;14429.11;14450.80
2019.10.09;14367.77;14563.47;14291.12;14555.96
2019.10.07;14465.47;14465.47;14325.37;14338.91
2019.10.04;14673.52;14678.45;14400.52;14415.63
2019.10.03;14605.71;14657.45;14521.52;14586.04
2019.10.01;14869.76;14906.16;14495.46;14645.34
2019.09.30;14917.81;14917.84;14711.04;14810.02
2019.09.27;14990.18;15013.53;14888.31;14899.79
2019.09.26;14854.84;15018.55;14848.64;14981.24
2019.09.25;15021.47;15021.47;14790.80;14819.33
